category,reviews,size,installs,price,suitable_for,last_update,latest_ver,popularity
TOOLS,2598579,49M,"50,000,000+",0,Everyone,"July 24, 2018",11.17.4.1024,High
COMMUNICATION,205739,17M,"5,000,000+",0,Everyone,"July 26, 2018",4.5.4,High
GAME,1327265,99M,"50,000,000+",0,Teen,"April 12, 2017",1.3,High
SOCIAL,22,8.7M,"1,000+",0,Teen,"August 5, 2018",31.1.4,High
BOOKS_AND_REFERENCE,4,3.9M,"1,000+",0,Everyone,"March 15, 2018",1.0.0,High
LIFESTYLE,7,3.4M,"1,000+",0,Everyone,"June 9, 2018",1.4,High
FAMILY,253115,99M,"10,000,000+",0,Everyone,"July 27, 2018",1.6.4,High
GAME,14,16M,100+,0,Everyone,"June 19, 2017",2.5,High
FINANCE,198,11M,"10,000+",0,Everyone,"July 9, 2018",1.8.0,High
LIFESTYLE,10,11M,"1,000+",0,Everyone,"January 18, 2018",4.2.7,High
FINANCE,51,11M,"1,000+",0,Everyone,"April 15, 2018",1.4.0,High
FAMILY,4115,5.8M,"100,000+",0,Everyone,"July 8, 2018",7.1.0,High
FAMILY,8,7.4M,50+,0,Everyone,"August 7, 2018",1.0.2,High
SHOPPING,10318,32M,"1,000,000+",0,Everyone,"June 19, 2018",2.1.8,High
PHOTOGRAPHY,666,8.7M,"100,000+",0,Everyone,"June 20, 2018",6.1,High
HEALTH_AND_FITNESS,623,40M,"50,000+",0,Everyone 10+,"July 17, 2017",1.2.3,High
HEALTH_AND_FITNESS,220125,11M,"10,000,000+",0,Everyone,"July 31, 2018",1.0.14,High
COMICS,279,3.3M,"100,000+",0,Everyone,"December 18, 2017",1.6,High
FAMILY,182,39M,"10,000+",0,Everyone,"July 11, 2018",2.0,High
FAMILY,6231,31M,"1,000,000+",0,Everyone,"July 13, 2018",2.6,High
PERSONALIZATION,644,59M,"50,000+",0,Everyone,"April 30, 2017",1.20,High
SHOPPING,33583,12M,"1,000,000+",0,Everyone,"July 30, 2018",3.9,High
FINANCE,12,2.7M,"1,000+",0,Everyone,"June 13, 2018",2.1,High
ART_AND_DESIGN,224399,31M,"10,000,000+",0,Everyone,"July 30, 2018",5.5.4,High
FAMILY,10159,6.4M,"1,000,000+",0,Everyone,"April 13, 2018",2.17,High
FAMILY,21,49M,"1,000+",0,Everyone,"July 4, 2018",1.1,High
EVENTS,4,61M,500+,0,Everyone,"July 24, 2018",1.0,High
HEALTH_AND_FITNESS,5420,21M,"500,000+",0,Everyone,"June 5, 2018",2.48.3,High
BUSINESS,114,8.6M,"5,000+",0,Everyone,"March 30, 2018",3.1.0.2,High
GAME,705,1.8M,"10,000+",0,Everyone,"July 28, 2015",1.2.1,High
GAME,169,13M,"1,000+",$0.99,Everyone,"July 1, 2015",4.0.5,High
TOOLS,2,3.9M,50+,$1.76,Everyone,"December 3, 2017",5.0,High
LIFESTYLE,12,6.0M,500+,0,Everyone,"February 26, 2018",4.9.940,High
FAMILY,513,1.6M,"10,000+",0,Everyone,"July 18, 2016",1.1.2,High
PHOTOGRAPHY,12,2.0M,"1,000+",0,Teen,"October 19, 2017",1.0,High
MEDICAL,156,22M,500+,$3.49,Everyone,"March 14, 2018",1.10.0,High
NEWS_AND_MAGAZINES,9548,15M,"1,000,000+",0,Everyone,"August 1, 2018",6.6.4,High
MEDICAL,9945,97M,"500,000+",0,Everyone,"July 5, 2018",5.11,High
FINANCE,396,12M,"10,000+",0,Everyone,"August 5, 2018",3.1.5,High
NEWS_AND_MAGAZINES,143,26M,"5,000+",$0.99,Mature 17+,"July 26, 2018",4.1.10,High
EDUCATION,32381,10M,"1,000,000+",0,Everyone 10+,"July 15, 2018",2.15.1,High
PERSONALIZATION,3277209,7.6M,"100,000,000+",0,Everyone,"May 9, 2018",3.2.5,High
FAMILY,1553,9.2M,"100,000+",0,Everyone,"August 2, 2018",3.3.1.02.08.2018.19,High
FAMILY,22165,6.8M,"1,000,000+",0,Everyone,"June 28, 2018",4.1806.3,High
FAMILY,61264,43M,"1,000,000+",$0.99,Everyone,"June 19, 2018",3.7.0,High
TOOLS,136540,3.1M,"1,000,000+",0,Everyone,"July 10, 2018",4.75,High
HEALTH_AND_FITNESS,60096,27M,"5,000,000+",0,Teen,"April 7, 2018",10.0,High
PHOTOGRAPHY,1,5.4M,10+,0,Teen,"February 1, 2017",1.0,High
TOOLS,23,283k,"5,000+",0,Everyone,"July 20, 2018",13,High
COMICS,24005,4.9M,"500,000+",0,Adults only 18+,"July 4, 2018",1.1.7.0,High
MEDICAL,1,4.2M,10+,0,Everyone,"July 24, 2018",1.0,High
MEDICAL,47,21M,"10,000+",0,Everyone,"August 2, 2018",1.7.1.946,High
LIFESTYLE,10,3.4M,500+,0,Everyone,"August 31, 2015",1.0.0,High
TOOLS,57076,35M,"100,000+",$4.49,Everyone,"July 24, 2018",9.4.1.3,High
TOOLS,436615,10M,"10,000,000+",0,Everyone,"June 5, 2018",3.3.1,High
HEALTH_AND_FITNESS,416,34M,"10,000+",$6.99,Everyone,"July 2, 2018",1.3.7,High
LIFESTYLE,8,6.7M,"1,000+",0,Everyone,"May 16, 2016",0.0.4,High
FAMILY,15,46M,"1,000+",0,Everyone,"May 31, 2017",1.0,High
LIFESTYLE,25,3.8M,"10,000+",0,Teen,"July 22, 2017",1.0,High
SPORTS,652940,90M,"10,000,000+",0,Teen,"July 5, 2018",1.3.5,High
PRODUCTIVITY,57449,5.0M,"1,000,000+",0,Everyone,"August 4, 2018",1.2.187.83,High
TOOLS,70404,4.2M,"1,000,000+",0,Everyone,"May 25, 2018",3.4.0,High
FAMILY,55723,14M,"1,000,000+",0,Everyone,"June 4, 2018",3.3,High
BUSINESS,45,12M,"5,000+",0,Everyone,"May 23, 2018",2.0.5,High
FAMILY,205914,54M,"10,000,000+",0,Everyone,"August 3, 2018",5.54,High
HEALTH_AND_FITNESS,2067,8.4M,"50,000+",0,Everyone,"May 18, 2018",2.0.4,High
PHOTOGRAPHY,26361,29M,"5,000,000+",0,Everyone,"July 25, 2018",5.3,High
FAMILY,36813,33M,"500,000+",0,Everyone,"May 1, 2018",4.2.0,High
COMMUNICATION,88,3.7M,500+,$4.99,Everyone,"May 18, 2018",8.05.18.14250,High
ENTERTAINMENT,235496,13M,"10,000,000+",0,Everyone,"July 29, 2018",1.2.0,High
TOOLS,23805,4.1M,"1,000,000+",0,Everyone,"August 13, 2017",2.0.4,High
TRAVEL_AND_LOCAL,68,4.2M,"10,000+",0,Everyone,"November 14, 2017",5.0,High
GAME,100,17M,"1,000+",$3.99,Everyone,"April 7, 2016",1.2.4,High
SOCIAL,33177,10M,"1,000,000+",0,Everyone,"June 12, 2018",2.1.6,High
EDUCATION,31085,24M,"500,000+",$3.99,Everyone,"July 6, 2018",1.5,High
SOCIAL,65,7.1M,500+,0,Teen,"February 25, 2017",1.1.2,High
NEWS_AND_MAGAZINES,1440,12M,"100,000+",0,Everyone,"March 29, 2018",1.3.35.0,High
GAME,4230886,60M,"100,000,000+",0,Everyone,"August 1, 2018",3.1.0,High
FINANCE,1992,24M,"50,000+",0,Everyone,"June 20, 2018",3000.5.3532,High
FAMILY,112,39M,"10,000+",0,Everyone,"June 5, 2018",1.5,High
FAMILY,3390,9.2M,"100,000+",0,Everyone,"October 3, 2017",1.5.0,High
HEALTH_AND_FITNESS,1,7.8M,10+,0,Everyone,"July 9, 2018",4.2.2,High
SPORTS,207,4.5M,"10,000+",0,Everyone,"November 13, 2017",2.6.0,High
PERSONALIZATION,18,16M,"5,000+",$1.49,Everyone,"June 21, 2018",5.1,High
VIDEO_PLAYERS,332623,4.6M,"10,000,000+",0,Everyone,"July 27, 2018",1.1.58,High
FAMILY,355613,59M,"10,000,000+",0,Teen,"August 2, 2018",1.21.2,High
FAMILY,160,13M,"10,000+",0,Everyone,"March 5, 2017",1.3,High
BUSINESS,19,21M,100+,0,Everyone,"June 12, 2018",1.0,High
FAMILY,8,1.7M,"1,000+",0,Everyone,"March 12, 2017",1.0,High
MEDICAL,2921,25M,"100,000+",$24.99,Everyone,"May 25, 2018",2018.5.47,High
GAME,8778,36M,"100,000+",0,Teen,"January 2, 2018",1.3.1,High
BUSINESS,43,92M,100+,0,Everyone,"July 20, 2018",3.0.0,High
FAMILY,43314,83M,"1,000,000+",0,Everyone 10+,"June 20, 2017",1.0.2,High
FAMILY,21979,38M,"1,000,000+",0,Everyone,"July 9, 2018",1.1.3,High
PERSONALIZATION,4,12M,100+,$0.99,Everyone,"May 15, 2018",2018.15.14,High
FOOD_AND_DRINK,7690,25M,"100,000+",0,Everyone,"July 3, 2018",3.1.14,High
GAME,14989,78M,"500,000+",0,Teen,"July 6, 2018",1.9.2,High
MEDICAL,2,29M,50+,0,Everyone,"July 11, 2018",300000.1.11,High
DATING,61637,11M,"5,000,000+",0,Mature 17+,"July 31, 2018",4.17.2,High
FINANCE,175,12M,"1,000+",0,Everyone,"June 12, 2018",5.9.1.0,High
PARENTING,62386,3.4M,"1,000,000+",0,Everyone,"June 12, 2018",2.7,High
FAMILY,10,3.0M,"10,000+",0,Everyone,"June 26, 2017",1.0.9,High
LIFESTYLE,20304,24M,"500,000+",0,Everyone,"July 31, 2018",4.35,High
MEDICAL,1,22M,10+,0,Everyone,"August 3, 2018",1.2,High
FAMILY,6,2.5M,"1,000+",0,Teen,"June 19, 2015",2.7,High
PERSONALIZATION,5073,23M,"1,000,000+",0,Everyone 10+,"September 25, 2017",1.1,High
FAMILY,84389,48M,"1,000,000+",0,Everyone,"August 5, 2018",1.375,High
GAME,59017,82M,"1,000,000+",0,Teen,"July 3, 2018",2.2.1,High
LIBRARIES_AND_DEMO,15,1.4M,"1,000+",0,Everyone,"April 27, 2017",1.0,High
FAMILY,623,47M,"5,000+",$0.99,Everyone,"June 2, 2018",1.3.0.6,High
TOOLS,175,4.3M,"10,000+",0,Everyone,"July 28, 2018",1.0.7,High
PHOTOGRAPHY,44,2.8M,100+,0,Everyone,"January 23, 2018",1.0,High
SOCIAL,2,1.8M,10+,0,Teen,"March 18, 2018",1.0,High
FAMILY,8600,91M,"500,000+",0,Everyone,"July 27, 2018",1.0.7,High
PHOTOGRAPHY,7605,4.3M,"500,000+",0,Everyone,"April 10, 2018",1.2.2.2,High
FAMILY,7,7.3M,"1,000+",0,Mature 17+,"April 11, 2018",1.3,High
FAMILY,681,2.8M,"50,000+",0,Everyone,"November 20, 2015",1.1,High
FAMILY,41,9.2M,"1,000+",0,Everyone,"July 7, 2017",5.1,High
PRODUCTIVITY,17,76M,100+,0,Everyone,"June 7, 2016",1.0.0,High
FAMILY,13,2.1M,100+,0,Everyone,"July 7, 2018",2.3,High
MAPS_AND_NAVIGATION,44348,11M,"5,000,000+",0,Everyone,"July 6, 2018",6.2.3,High
PARENTING,7505,9.1M,"100,000+",0,Everyone,"January 7, 2017",1.1.27.477,High
FINANCE,2,2.0M,100+,0,Everyone,"March 30, 2016",1.1,High
FAMILY,12293,4.0M,"1,000,000+",0,Everyone,"May 6, 2018",1.2.6,High
HEALTH_AND_FITNESS,548021,27M,"10,000,000+",0,Everyone,"August 2, 2018",5.7.1,High
PHOTOGRAPHY,142634,22M,"10,000,000+",0,Everyone,"July 6, 2018",1.5.1,High
MAPS_AND_NAVIGATION,7314,7.0M,"100,000+",0,Everyone,"September 7, 2017",3.1.4,High
MEDICAL,18,9.3M,"5,000+",0,Everyone,"March 10, 2018",2.0,High
GAME,776730,49M,"10,000,000+",0,Everyone 10+,"July 26, 2018",2.23,High
PERSONALIZATION,32613,3.2M,"1,000,000+",0,Everyone,"May 31, 2018",3.11,High
FAMILY,1,27M,100+,$4.99,Everyone,"March 28, 2018",1.5.2,High
HEALTH_AND_FITNESS,48276,7.5M,"1,000,000+",0,Everyone,"August 4, 2018",3.0.6,High
TOOLS,251,3.8M,"1,000+",$0.99,Everyone,"August 5, 2018",4.1.4,High
GAME,35,3.1M,"10,000+",0,Everyone,"July 29, 2016",1.0.0,High
VIDEO_PLAYERS,3,2.8M,500+,0,Everyone,"November 26, 2017",1.0,High
LIFESTYLE,14,2.6M,100+,0,Everyone,"October 13, 2017",2.4,High
SOCIAL,25562,31M,"5,000,000+",0,Teen,"August 2, 2018",2.6.10,High
VIDEO_PLAYERS,9879473,40M,"100,000,000+",0,Teen,"August 4, 2018",7.2.1,High
TOOLS,58366,6.3M,"1,000,000+",0,Everyone,"December 7, 2017",1.0,High
BOOKS_AND_REFERENCE,29551,67M,"1,000,000+",0,Everyone,"April 6, 2018",1.0.7,High
TOOLS,78,375k,"10,000+",0,Everyone,"April 1, 2018",0.6,High
FINANCE,1,8.4M,50+,0,Everyone,"April 20, 2017",1.2,High
BEAUTY,36,6.7M,"10,000+",0,Everyone,"July 26, 2018",6.0,High
HEALTH_AND_FITNESS,18,13M,100+,0,Everyone,"February 6, 2018",1.0.6,High
NEWS_AND_MAGAZINES,210,18M,"10,000+",0,Everyone,"May 31, 2018",4.29.0.9,High
HEALTH_AND_FITNESS,106547,54M,"1,000,000+",0,Everyone,"July 27, 2018",18.7.1,High
TOOLS,85,19M,"1,000+",0,Everyone,"July 5, 2018",1.20,High
LIFESTYLE,29,3.2M,"1,000+",0,Everyone,"July 25, 2018",1.3,High
GAME,5418675,96M,"100,000,000+",0,Everyone,"June 13, 2018",1.751,High
FAMILY,7420,7.4M,"50,000+",$4.99,Teen,"November 10, 2014",1.2.5,High
SPORTS,169,19M,"10,000+",0,Everyone,"July 27, 2018",2.0.855.33,High
FAMILY,23,17M,"10,000+",0,Everyone,"September 12, 2016",1.0,High
TOOLS,3703,3.8M,"100,000+",0,Everyone,"August 5, 2018",4.1.4,High
FAMILY,10,2.5M,100+,0,Everyone,"June 30, 2018",82.2.5.41.2.62.432271.42921,High
SOCIAL,5,1.8M,5+,0,Everyone,"August 4, 2018",1.2.4,High
TOOLS,351267,5.0M,"10,000,000+",0,Everyone,"February 9, 2018",3.1.0,High
MEDICAL,30,4.1M,"1,000+",0,Everyone,"June 21, 2017",4.1.0,High
BOOKS_AND_REFERENCE,4478,9.5M,"100,000+",0,Everyone 10+,"July 31, 2017",1.1,High
EDUCATION,9321,27M,"1,000,000+",0,Everyone,"July 18, 2018",2.9.0,High
BOOKS_AND_REFERENCE,313,6.9M,"50,000+",0,Everyone,"August 4, 2018",0.7,High
FAMILY,580160,29M,"5,000,000+",0,Everyone,"June 13, 2018",1.7.5,High
HEALTH_AND_FITNESS,10445,48M,"500,000+",0,Everyone,"July 2, 2018",112.0,High
ART_AND_DESIGN,149,3.5M,"1,000+",$1.99,Everyone,"July 30, 2018",1.2.2,High
BOOKS_AND_REFERENCE,218451,4.7M,"10,000,000+",0,Everyone,"May 20, 2018",3.2.3,High
BUSINESS,41625,5.4M,"1,000,000+",0,Everyone,"December 21, 2017",2.3.4,High
PRODUCTIVITY,7566,4.0M,"500,000+",0,Everyone,"July 21, 2018",67,High
TOOLS,801054,8.9M,"10,000,000+",0,Everyone,"August 1, 2018",4.3.0,High
FINANCE,1308,3.7M,"100,000+",0,Everyone,"June 8, 2015",13.0,High
GAME,299046,47M,"10,000,000+",0,Mature 17+,"July 12, 2018",0.9.5,High
TOOLS,648380,24M,"10,000,000+",0,Everyone,"August 1, 2018",4.6.4,High
BUSINESS,4,24M,100+,0,Everyone,"July 24, 2018",5.1.1,High
FINANCE,60449,100M,"1,000,000+",0,Everyone,"July 23, 2018",2.9.12,High
FAMILY,4,1.7M,100+,0,Teen,"June 28, 2015",1,High
HEALTH_AND_FITNESS,69279,10M,"10,000,000+",0,Everyone,"July 23, 2018",1.1.8,High
TRAVEL_AND_LOCAL,620534,9.8M,"10,000,000+",0,Everyone,"July 30, 2018",5.7.3,High
FAMILY,5227,1.9M,"500,000+",0,Everyone,"November 20, 2015",1.0,High
BOOKS_AND_REFERENCE,21336,23M,"1,000,000+",0,Everyone,"June 20, 2018",1.28,High
MAPS_AND_NAVIGATION,4501,26M,"100,000+",0,Teen,"July 25, 2018",3.5.1,High
GAME,1385093,35M,"100,000,000+",0,Everyone,"August 2, 2018",1.7.40,High
SHOPPING,178497,9.1M,"10,000,000+",0,Everyone,"August 2, 2018",4.33.0,High
FAMILY,13,6.0M,100+,0,Everyone,"August 2, 2018",1.0.4,High
FAMILY,39480,14M,"500,000+",0,Everyone,"June 16, 2017",4.1.1,High
PRODUCTIVITY,3,28M,10+,0,Everyone,"December 6, 2016",0.1.7,High
HEALTH_AND_FITNESS,50294,11M,"1,000,000+",0,Everyone,"July 9, 2018",3.0.7,High
PHOTOGRAPHY,11677,19M,"1,000,000+",0,Everyone,"July 5, 2018",1.0.3,High
FOOD_AND_DRINK,1398,10M,"100,000+",0,Everyone 10+,"June 14, 2018",1.0,High
FAMILY,244797,52M,"5,000,000+",0,Teen,"July 30, 2018",1.24.09,High
PERSONALIZATION,4856,18M,"50,000+",$2.49,Everyone,"January 31, 2018",1.5.3,High
NEWS_AND_MAGAZINES,4,10M,100+,0,Everyone,"July 23, 2018",2.0.0,High
COMMUNICATION,4,8.1M,100+,0,Everyone,"August 30, 2014",1.3.0,High
DATING,158,4.5M,"10,000+",0,Mature 17+,"July 5, 2018",8.2,High
FINANCE,3596,19M,"100,000+",0,Everyone,"July 20, 2018",16.6,High
FAMILY,36,7.1M,"1,000+",0,Everyone,"March 12, 2018",1.3,High
FINANCE,381788,32M,"10,000,000+",0,Everyone,"August 2, 2018",3.22.0,High
SPORTS,2317,5.9M,"50,000+",0,Everyone,"July 26, 2018",2.0.20,High
ENTERTAINMENT,16372,13M,"500,000+",0,Teen,"July 18, 2018",1.16,High
GAME,13118,47M,"500,000+",0,Teen,"June 25, 2018",1.0.19,High
LIFESTYLE,499,6.9M,"50,000+",0,Everyone,"May 10, 2018",1.2.7,High
FAMILY,221691,94M,"5,000,000+",0,Teen,"August 6, 2018",1.20.22,High
DATING,13046,13M,"500,000+",0,Mature 17+,"July 31, 2018",4.17.2,High
GAME,396090,26M,"10,000,000+",0,Teen,"May 30, 2018",1.7.0,High
FAMILY,36,9.4M,"1,000+",0,Teen,"June 25, 2018",3.8.0,High
PERSONALIZATION,4,31M,50+,$0.99,Everyone,"April 27, 2018",1.1,High
GAME,55952,61M,"1,000,000+",0,Everyone 10+,"July 13, 2017",1.0.10,High
FAMILY,23,4.3M,"1,000+",0,Everyone,"August 28, 2017",1.3,High
GAME,745684,83M,"5,000,000+",0,Teen,"July 17, 2018",3.0.2,High
TRAVEL_AND_LOCAL,8,18M,"1,000+",0,Everyone,"June 22, 2018",1.73,High
MEDICAL,6035,8.9M,"100,000+",0,Everyone,"July 5, 2018",1.2.0,High
FAMILY,3,1.8M,100+,0,Mature 17+,"December 26, 2016",3.1,High
FAMILY,31134,48M,"1,000,000+",0,Everyone 10+,"August 2, 2018",1.10.6,High
PERSONALIZATION,1724,21M,"100,000+",0,Mature 17+,"June 26, 2018",5.34.10,High
BOOKS_AND_REFERENCE,123,6.5M,"1,000+",0,Everyone,"March 15, 2017",3.15317,High
PHOTOGRAPHY,4400,8.3M,"1,000,000+",0,Everyone,"July 28, 2018",2.0.1,High
FAMILY,53,4.4M,"1,000+",0,Everyone,"February 28, 2018",1.3,High
AUTO_AND_VEHICLES,189,16M,"10,000+",0,Everyone,"July 3, 2018",1.1.6,High
FINANCE,1231,14M,"10,000+",0,Everyone,"June 12, 2018",5.9.1.0,High
ENTERTAINMENT,736864,20M,"10,000,000+",0,Teen,"January 19, 2018",3.17.2,High
FAMILY,663,25M,"50,000+",0,Everyone,"February 9, 2018",3.0.0,High
FAMILY,49210,99M,"1,000,000+",0,Everyone 10+,"July 5, 2018",1.2.1107,High
TOOLS,2674051,26M,"50,000,000+",0,Everyone,"August 6, 2018",2.1.69,High
PERSONALIZATION,1,46M,10+,$0.99,Everyone,"May 21, 2018",1.1,High
FAMILY,10,30M,"1,000+",$2.99,Everyone,"December 18, 2017",1.3,High
EDUCATION,142632,6.9M,"5,000,000+",0,Everyone,"July 12, 2018",2.8,High
COMICS,34,12M,"5,000+",0,Everyone,"July 31, 2018",1.0.5,High
HEALTH_AND_FITNESS,12705,15M,"1,000,000+",0,Everyone,"July 10, 2018",1.0.2,High
FAMILY,12,8.4M,500+,0,Teen,"June 27, 2018",3.8.0,High
TOOLS,9,1.5M,100+,0,Everyone,"April 5, 2017",1.0,High
GAME,515657,63M,"10,000,000+",0,Everyone,"June 5, 2018",1.7.1,High
BOOKS_AND_REFERENCE,3776,12M,"100,000+",0,Everyone,"February 7, 2018",2.12.0,High
GAME,416540,99M,"10,000,000+",0,Everyone 10+,"May 30, 2018",1.14.0,High
PHOTOGRAPHY,1320,9.5M,"50,000+",0,Everyone,"June 27, 2018",2.1.9,High
NEWS_AND_MAGAZINES,62740,8.6M,"500,000+",0,Mature 17+,"June 16, 2018",16.3,High
FAMILY,22,8.6M,"1,000+",0,Teen,"June 27, 2018",3.8.0,High
SOCIAL,111,5.9M,"1,000+",0,Everyone,"July 18, 2018",2.42,High
GAME,4972230,9.9M,"100,000,000+",0,Everyone,"March 2, 2018",1.52,High
NEWS_AND_MAGAZINES,256680,12M,"10,000,000+",0,Everyone,"July 24, 2018",6.7.15.7,High
FAMILY,1,5.6M,10+,0,Everyone,"June 27, 2018",1.0,High
PRODUCTIVITY,57904,11M,"1,000,000+",0,Everyone,"July 1, 2018",12.8.2,High
PARENTING,717,6.6M,"100,000+",0,Everyone,"December 30, 2017",1.6.0,High
PHOTOGRAPHY,1159058,25M,"100,000,000+",0,Everyone,"August 3, 2018",2.73.672,High
GAME,2032,50M,"50,000+",0,Teen,"June 5, 2018",0.1.27,High
LIBRARIES_AND_DEMO,2639,19M,"500,000+",0,Everyone,"December 11, 2017",6.0,High
TRAVEL_AND_LOCAL,10,8.0M,500+,0,Everyone,"March 14, 2018",3.0.0,High
MEDICAL,25,1.2M,"1,000+",$4.99,Everyone,"June 11, 2016",3.1.6,High
ENTERTAINMENT,23063,17M,"1,000,000+",0,Everyone,"August 3, 2018",1.0.9,High
GAME,189773,95M,"5,000,000+",0,Teen,"July 18, 2018",1.1.1,High
FAMILY,7,3.5M,"1,000+",0,Everyone,"July 26, 2016",1.0,High
FAMILY,6,8.1M,100+,0,Teen,"June 26, 2018",3.8.0,High
TOOLS,1955,14M,"100,000+",0,Everyone,"March 17, 2018",1.0.8,High
TOOLS,313,4.4M,"10,000+",$1.97,Everyone,"March 29, 2015",4.1,High
MEDICAL,73,6.3M,"10,000+",0,Everyone,"December 8, 2017",2.7.36,High
FINANCE,964,14M,"10,000+",0,Everyone,"June 12, 2018",5.9.1.0,High
FAMILY,1,63M,10+,$4.99,Everyone,"April 4, 2018",1.0.59,High
FAMILY,20267,46M,"1,000,000+",0,Everyone,"July 16, 2018",1.1.6.7,High
PHOTOGRAPHY,285788,46M,"10,000,000+",0,Everyone,"December 4, 2017",1.8.0.170824.9,High
GAME,62561,53M,"1,000,000+",0,Everyone,"July 31, 2018",2.4.11,High
FAMILY,4,23M,10+,$14.99,Teen,"January 24, 2018",1.03,High
NEWS_AND_MAGAZINES,53,5.9M,"10,000+",0,Teen,"June 19, 2018",1.7,High
FOOD_AND_DRINK,556,23M,"100,000+",0,Teen,"January 25, 2018",2.0,High
GAME,48615,24M,"10,000,000+",0,Everyone,"May 22, 2018",1.4.12,High
PRODUCTIVITY,19302,7.2M,"5,000,000+",0,Everyone,"June 28, 2018",3.5.12,High
GAME,169661,40M,"10,000,000+",0,Everyone,"August 1, 2018",1.246,High
GAME,9881829,99M,"100,000,000+",0,Everyone,"July 3, 2018",3.7.2.51,High
ART_AND_DESIGN,121,3.1M,"10,000+",0,Everyone,"July 3, 2018",2.8,High
SPORTS,57,17M,"5,000+",0,Everyone,"June 26, 2018",3.0.0,High
MEDICAL,625,8.4M,"10,000+",$3.99,Everyone,"January 8, 2017",2.1,High
HEALTH_AND_FITNESS,56145,23M,"1,000,000+",0,Everyone,"August 1, 2018",7.3.4,High
FAMILY,185,72M,"1,000+",$4.99,Everyone,"May 1, 2018",1.16.5,High
LIFESTYLE,147,9.8M,"10,000+",0,Everyone,"May 2, 2017",1.0.1,High
COMMUNICATION,305347,39M,"10,000,000+",0,Teen,"July 27, 2018",7.1.8,High
SPORTS,342,38M,"10,000+",0,Everyone,"August 6, 2018",2.22.0,High
PRODUCTIVITY,2807,9.8M,"100,000+",0,Everyone,"December 15, 2016",0.74.11.12.2016,High
LIBRARIES_AND_DEMO,831,24M,"100,000+",0,Everyone,"February 20, 2018",8.0,High
SOCIAL,20,1.2M,100+,0,Teen,"November 10, 2016",1.2,High
HOUSE_AND_HOME,3167,7.5M,"100,000+",0,Everyone,"August 3, 2018",2.0.0,High
TOOLS,6,4.5M,50+,0,Everyone,"June 5, 2018",1.0.2,High
GAME,358633,19M,"10,000,000+",0,Everyone,"May 3, 2018",1.32,High
PRODUCTIVITY,112,2.4M,"1,000+",$7.99,Everyone,"March 16, 2017",3.0,High
BUSINESS,207372,11M,"5,000,000+",0,Everyone,"August 2, 2018",12.2.4,High
GAME,183343,20M,"5,000,000+",0,Teen,"May 28, 2018",1.5.1,High
LIBRARIES_AND_DEMO,26,2.5M,"1,000+",0,Everyone,"May 24, 2018",1.0,High
FINANCE,46106,22M,"1,000,000+",0,Everyone,"July 31, 2018",1.28.0.5402,High
GAME,526595,49M,"10,000,000+",0,Everyone 10+,"June 26, 2018",2.9,High
GAME,141529,24M,"5,000,000+",0,Everyone 10+,"August 1, 2018",2.0.6,High
GAME,354373,66M,"10,000,000+",0,Everyone 10+,"October 12, 2017",1.2.7,High
WEATHER,29344,22M,"500,000+",0,Everyone,"July 25, 2018",4.1.11,High
SOCIAL,8369,63M,"50,000+",0,Teen,"July 13, 2018",1.8.19106,High
TOOLS,16936,5.0M,"1,000,000+",0,Everyone,"January 25, 2018",2.94,High
FAMILY,498,5.0M,"50,000+",0,Everyone,"October 15, 2017",2.0,High
FAMILY,2683,25M,"10,000+",0,Mature 17+,"June 15, 2018",1.3.1,High
FAMILY,9016,24M,"1,000,000+",0,Everyone,"August 6, 2018",0.9.34,High
SPORTS,16257,14M,"500,000+",0,Everyone 10+,"February 3, 2017",2.8,High
FAMILY,4,52M,50+,0,Everyone,"April 3, 2018",1.1,High
EVENTS,1065,9.0M,"100,000+",0,Everyone,"May 31, 2018",1.3.2,High
GAME,804,27M,"10,000+",0,Everyone,"July 18, 2018",1.0.4,High
NEWS_AND_MAGAZINES,89,5.7M,"5,000+",0,Everyone,"February 17, 2018",5.0,High
TOOLS,79,3.0M,"1,000+",0,Everyone,"November 8, 2017",2.9.9,High
AUTO_AND_VEHICLES,994,2.9M,"100,000+",0,Everyone,"March 27, 2018",1.6,High
GAME,8038,52M,"100,000+",0,Teen,"July 12, 2018",1.4.1,High
PERSONALIZATION,292,7.9M,"10,000+",0,Everyone,"March 15, 2017",1.0.50,High
GAME,20,65M,"1,000+",$0.99,Everyone 10+,"March 27, 2018",1.0.0,High
COMMUNICATION,71740,5.8M,"5,000,000+",0,Everyone,"June 27, 2018",2.0.7.0014,High
ART_AND_DESIGN,174531,24M,"10,000,000+",0,Everyone,"July 31, 2018",1.6.1,High
FAMILY,1791,56M,"500,000+",0,Everyone,"June 2, 2018",5.3.11,High
PRODUCTIVITY,209696,49M,"5,000,000+",0,Everyone,"June 18, 2018",3.2.258.1.5165,High
FAMILY,51068,57M,"100,000+",$4.99,Teen,"June 21, 2018",1.574,High
AUTO_AND_VEHICLES,6090,27M,"100,000+",0,Everyone,"July 3, 2018",1.7,High
MEDICAL,17,37M,"5,000+",0,Everyone,"July 19, 2018",1.5.0,High
FINANCE,16961,32M,"500,000+",0,Everyone,"August 4, 2018",2.12.100,High
WEATHER,14051,8.7M,"100,000+",$3.99,Everyone,"August 4, 2018",8.5,High
FAMILY,29495,56M,"1,000,000+",0,Teen,"May 24, 2018",1.11.0,High
